Promotion Seen,Timestamp
MentionsSettingCogCoachmark,1655316381
AppleHealthWinbackOverlay,1681081190
MapsTabDirtSports,1695445238
Tdf2022FeedFollow,1656013076
Tdf2022FeedFollow,1656426938
Tdf2022FeedFollow,1657206691
MapsTabDirtFirstTimeExperienceFree,1710719334
OfflineMapsFirstTimeExperience,1710719334
VideoNotificationMonthlySoftLimit,1664214753
VideoNotificationMonthlySoftLimit,1672603624
VideoNotificationHardLimit,1664214753
VideoNotificationHardLimit,1672603624
SettingsStudentPlanNewLabel,1670516607
FollowingFeedDoradoCooldown,1660273730
FollowingFeedDoradoCooldown,1676751008
FollowingFeedDoradoCooldown,1676751009
FollowingFeedDoradoCooldown,1676751048
CommentNotificationCoachmark,1660273814
FollowModeCoachmark,1708883542
PostSubscriptionPreviewModalImpression,1708457464
SubPreviewMapsOverlay,1695445238
SubPreviewGroupTab,1694399567
SubPreviewYouTab,1694399660
SubPreviewActivitiesFeedBanner,1694399660
SubPreviewActivitiesFeedBanner,1694568768
SubPreviewActivitiesFeedBanner,1694741093
SubPreviewProgressBanner,1694568767
SubPreviewProgressBanner,1694741092
SubPreviewProgressBanner,1694836759
SubPreviewWelcomeModalImpression,1694399567
SubPreviewConversionModalImpression,1696950751
SubPreviewConversionModalImpression,1696983365
SubPreviewConversionModalImpression,1697059858
SubPreviewConversionModalImpression,1710496027
SubPreviewConversionModalImpression,1712927002
WebMediaUploaderFeatureEd,1703357614
WebMediaUploaderFeatureEd,1703357635
WebMediaUploaderFeatureEd,1715540319
WebMediaUploaderFeatureEd,1715540342
WebMediaUploaderFeatureEd,1715540355
WebMediaUploaderFeatureEd,1715540576
WebMediaUploaderFeatureEd,1715540696
WebMediaUploaderFeatureEd,1715540880
WebMediaUploaderFeatureEd,1715540958
WebMediaUploaderFeatureEd,1715541052
WebMediaUploaderFeatureEd,1715541067
WebMediaUploaderFeatureEd,1715541117
WebMediaUploaderFeatureEd,1715541162
WebMediaUploaderFeatureEd,1715541472
WebMediaUploaderFeatureEd,1715541542
WebMediaUploaderFeatureEd,1715541674
WebMediaUploaderFeatureEd,1715541700
WebMediaUploaderFeatureEd,1715541715
WebMediaUploaderFeatureEd,1715541792
WebMediaUploaderFeatureEd,1715541946
WebMediaUploaderFeatureEd,1715542004
WebMediaUploaderFeatureEd,1715542262
WebMediaUploaderFeatureEd,1715542320
WebMediaUploaderFeatureEd,1715542449
WebMediaUploaderFeatureEd,1715542491
WebMediaUploaderFeatureEd,1715542524
WebMediaUploaderFeatureEd,1715542603
WebMediaUploaderFeatureEd,1715542624
WebMediaUploaderFeatureEd,1715542695
WebMediaUploaderFeatureEd,1715542820
WebMediaUploaderFeatureEd,1715542841
WebMediaUploaderFeatureEd,1715542898
WebMediaUploaderFeatureEd,1715542946
WebMediaUploaderFeatureEd,1723122209
WebMediaUploaderFeatureEd2,1703357486
WebMediaUploaderFeatureEd2,1703357527
WebMediaUploaderFeatureEd2,1703357598
WebMediaUploaderFeatureEd2,1703357610
FollowingFeedDoradoCooldownSix,1689073604
FollowingFeedDoradoCooldownSix,1689073605
FollowingFeedDoradoCooldownSix,1689073654
FollowingFeedDoradoCooldownSix,1689073655
FollowingFeedDoradoCooldownSix,1692390416
FollowingFeedDoradoCooldownSix,1692390417
FollowingFeedDoradoCooldownSix,1692390577
FollowingFeedDoradoCooldownSix,1692390578
FollowingFeedDoradoCooldownSix,1692563720
FollowingFeedDoradoCooldownSix,1692563721
FollowingFeedDoradoCooldownSix,1693632248
FollowingFeedDoradoCooldownSix,1693632249
FollowingFeedDoradoCooldownSix,1693862621
FollowingFeedDoradoCooldownSix,1693862623
FollowingFeedDoradoCooldownSix,1693862640
FollowingFeedDoradoCooldownSix,1693862642
FollowingFeedDoradoCooldownSix,1694062257
FollowingFeedDoradoCooldownSix,1694062258
FollowingFeedDoradoCooldownSix,1694182041
FollowingFeedDoradoCooldownSix,1694182042
FollowingFeedDoradoCooldownSix,1694182088
FollowingFeedDoradoCooldownSix,1694182089
FollowingFeedDoradoCooldownSix,1694399566
FollowingFeedDoradoCooldownSix,1694399567
FollowingFeedDoradoCooldownSix,1694471416
FollowingFeedDoradoCooldownSix,1694471417
FollowingFeedDoradoCooldownSix,1694539298
FollowingFeedDoradoCooldownSix,1694539464
FollowingFeedDoradoCooldownSix,1694568696
FollowingFeedDoradoCooldownSix,1694568697
FollowingFeedDoradoCooldownSix,1694568710
FollowingFeedDoradoCooldownSix,1694568711
FollowingFeedDoradoCooldownSix,1694656962
FollowingFeedDoradoCooldownSix,1694740819
FollowingFeedDoradoCooldownSix,1694740820
FollowingFeedDoradoCooldownSix,1694740855
